type;start_date;zipcode;visitation_sum;year
indoor;2019-04-01;77063;516237;2019
indoor;2019-04-01;77064;244859;2019
indoor;2019-04-01;77065;827441;2019
indoor;2019-04-01;77066;202178;2019
indoor;2019-04-01;77067;17808;2019
indoor;2019-04-01;77068;133988;2019
indoor;2019-04-01;77069;59230;2019
indoor;2019-04-01;77070;1415935;2019
indoor;2019-04-01;77071;13277;2019
indoor;2019-04-01;77072;72366;2019
indoor;2019-04-01;77073;45097;2019
indoor;2019-04-01;77074;658896;2019
indoor;2019-04-01;77075;26555;2019
indoor;2019-04-01;77076;7617;2019
indoor;2019-04-01;77077;985093;2019
indoor;2019-04-01;77078;5736;2019
indoor;2019-04-01;77079;430445;2019
indoor;2019-04-01;77080;144632;2019
indoor;2019-04-01;77081;123887;2019
indoor;2019-04-01;77082;520470;2019
indoor;2019-04-01;77083;129939;2019
indoor;2019-04-01;77084;1564481;2019
indoor;2019-04-01;77085;749;2019
indoor;2019-04-01;77086;2059;2019
indoor;2019-04-01;77087;53634;2019
indoor;2019-04-01;77088;15848;2019
indoor;2019-04-01;77089;173205;2019
indoor;2019-04-01;77090;763087;2019
indoor;2019-04-01;77091;1445;2019
indoor;2019-04-01;77092;248084;2019
indoor;2019-04-01;77093;7128;2019
indoor;2019-04-01;77094;39034;2019
indoor;2019-04-01;77095;535224;2019
indoor;2019-04-01;77096;272183;2019
indoor;2019-04-01;77098;259964;2019
indoor;2019-04-01;77099;1617421;2019
indoor;2019-05-01;77002;115931223;2019
indoor;2019-05-01;77003;457075;2019
indoor;2019-05-01;77004;925358;2019
indoor;2019-05-01;77005;3704560;2019
indoor;2019-05-01;77006;940806;2019
indoor;2019-05-01;77007;943030;2019
indoor;2019-05-01;77008;914567;2019
indoor;2019-05-01;77009;112469;2019
indoor;2019-05-01;77010;0;2019
indoor;2019-05-01;77011;0;2019
indoor;2019-05-01;77012;40816;2019
indoor;2019-05-01;77013;152;2019
indoor;2019-05-01;77014;116325;2019
indoor;2019-05-01;77015;85680;2019
indoor;2019-05-01;77016;2229;2019
indoor;2019-05-01;77017;42717;2019
indoor;2019-05-01;77018;370218;2019
indoor;2019-05-01;77019;1801949;2019
indoor;2019-05-01;77020;32359;2019
indoor;2019-05-01;77021;13780;2019
indoor;2019-05-01;77022;69460;2019
indoor;2019-05-01;77023;47344;2019
indoor;2019-05-01;77024;2644060;2019
indoor;2019-05-01;77025;57684;2019
indoor;2019-05-01;77026;4273;2019
indoor;2019-05-01;77027;1753059;2019
indoor;2019-05-01;77028;3776;2019
indoor;2019-05-01;77029;160088;2019
indoor;2019-05-01;77030;6599529;2019
indoor;2019-05-01;77031;35786;2019
indoor;2019-05-01;77032;42037;2019
indoor;2019-05-01;77033;0;2019
indoor;2019-05-01;77034;409908;2019
indoor;2019-05-01;77035;8204;2019
indoor;2019-05-01;77036;378189;2019
indoor;2019-05-01;77037;56721;2019
indoor;2019-05-01;77038;0;2019
indoor;2019-05-01;77039;8643;2019
indoor;2019-05-01;77040;461185;2019
indoor;2019-05-01;77041;143248;2019
indoor;2019-05-01;77042;637226;2019
indoor;2019-05-01;77043;5877687;2019
indoor;2019-05-01;77044;16752;2019
indoor;2019-05-01;77045;2956;2019
indoor;2019-05-01;77046;107606;2019
indoor;2019-05-01;77047;129115;2019
indoor;2019-05-01;77048;284;2019
indoor;2019-05-01;77049;0;2019
indoor;2019-05-01;77050;0;2019
indoor;2019-05-01;77051;0;2019
indoor;2019-05-01;77053;1683;2019
indoor;2019-05-01;77054;39482503;2019
indoor;2019-05-01;77055;401583;2019
indoor;2019-05-01;77056;2654442;2019
indoor;2019-05-01;77057;1218583;2019
indoor;2019-05-01;77058;4667750;2019
indoor;2019-05-01;77059;55163;2019
indoor;2019-05-01;77060;51152;2019
indoor;2019-05-01;77061;20688;2019
indoor;2019-05-01;77062;40226;2019
